              0	    -17	    -23
              1	    -16	    -23
              2	    -14	    -24
              3	    -15	    -24
              4	    -19	    -24
              5	    -18	    -24
              6	    -20	    -24
              7	    -20	    -23
              8	    -20	    -23
              9	    -17	    -23
             10	    -12	    -22
             11	     -9	    -22
             12	    -11	    -22
             13	    -12	    -22
             14	    -14	    -21
             15	    -16	    -21
             16	    -17	    -21
             17	    -16	    -21
             18	    -14	    -20
             19	     -8	    -20
             20	    -10	    -20
             21	     -9	    -20
             22	     -8	    -20
             23	     -8	    -20
             24	    -11	    -20
             25	    -12	    -20
             26	    -11	    -20
             27	    -11	    -19
             28	    -11	    -19
             29	     -9	    -19
             30	     -8	    -19
             31	     -9	    -18
             32	     -8	    -18
             33	     -6	    -18
             34	     -7	    -18
             35	     -9	    -17
             36	    -11	    -17
             37	    -11	    -17
             38	    -10	    -17
             39	     -4	    -17
             40	     -3	    -16
             41	     -2	    -16
             42	      1	    -15
             43	      0	    -14
             44	     -1	    -14
             45	     -5	    -13
             46	     -7	    -13
             47	     -6	    -12
             48	     -6	    -12
             49	     -3	    -12
             50	     -1	    -12
             51	      0	    -13
             52	      2	    -13
             53	      4	    -12
             54	      0	    -12
             55	     -1	    -11
             56	      1	    -10
             57	      1	    -10
             58	      2	     -9
             59	      5	     -8
             60	      8	     -7
             61	     11	     -6
             62	     12	     -5
             63	      9	     -4
             64	      8	     -2
             65	      9	     -1
             66	      8	      1
             67	      8	      2
             68	     14	      4
             69	     15	      5
             70	     18	      5
             71	     21	      6
             72	     21	      6
             73	     23	      6
             74	     21	      7
             75	     20	      7
             76	     20	      8
             77	     19	      9
             78	     25	     11
             79	     31	     13
             80	     32	     15
             81	     32	     17
             82	     35	     19
             83	     35	     20
             84	     31	     21
             85	     32	     22
             86	     30	     23
             87	     30	     24
             88	     32	     25
             89	     36	     25
             90	     38	     25
             91	     38	     25
             92	     40	     25
             93	     38	     24
             94	     36	     24
             95	     35	     23
             96	     33	     22
             97	     32	     21
             98	     33	     21
             99	     31	     20
            100	     33	     20
            101	     33	     20
            102	     34	     20
            103	     29	     19
            104	     27	     18
            105	     22	     17
            106	     18	     15
            107	     14	     13
            108	     15	     10
            109	     17	      8
            110	     17	      5
            111	     14	      3
            112	     14	      2
            113	     10	      0
            114	      8	     -1
            115	      5	     -2
            116	      1	     -3
            117	     -1	     -4
            118	      0	     -5
            119	      0	     -7
            120	      1	     -9
            121	      2	    -11
            122	      0	    -12
            123	      2	    -13
            124	      3	    -13
            125	      6	    -12
            126	      7	    -10
            127	      9	     -7
            128	     13	     -3
            129	     17	      0
            130	     18	      3
            131	     24	      5
            132	     23	      6
            133	     18	      7
            134	     17	      7
            135	     14	      6
